CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
C0001,53,12,42956.1605,3,4,3,10,Loyal
C0002,32,7,35460.0935,4,3,3,10,Loyal
C0003,505,1,235.9,1,1,1,3,At Risk
C0004,50,20,143980.7035,3,5,5,13,High Value
C0005,11,10,87408.7035,5,4,4,13,High Value
C0006,159,2,7786.8725,2,1,1,4,At Risk
C0007,17,13,89209.975,5,4,4,13,High Value
C0008,116,4,35117.626,2,2,3,7,Potential
C0009,67,12,115049.19549999999,3,4,5,12,Loyal
C0011,10,13,59956.421,5,4,4,13,High Value
C0012,220,7,71841.775,1,3,4,8,Potential
C0013,15,5,25199.563000000002,5,2,2,9,Potential
C0014,36,4,23954.173000000003,4,2,2,8,Potential
C0015,43,8,28097.408,3,3,2,8,Potential
C0016,34,12,59005.4095,4,4,4,12,Loyal
C0017,41,8,16546.002500000002,3,3,2,8,Potential
C0018,9,8,44745.4275,5,3,3,11,Loyal
C0019,108,8,55684.92,2,3,4,9,Potential
C0020,9,21,135925.44,5,5,5,15,High Value
C0021,20,6,28755.031500000005,4,3,2,9,Potential
C0022,39,19,100464.4835,3,5,5,13,High Value
C0023,51,12,85191.26849999999,3,4,4,11,Loyal
C0024,70,6,54344.055,3,3,4,10,Loyal
C0025,356,2,21708.28,1,1,2,4,At Risk
C0026,73,2,5417.781,3,1,1,5,At Risk
C0027,60,15,89747.7945,3,5,4,12,Loyal
C0028,60,3,17314.1345,3,1,2,6,At Risk
C0029,142,3,2178.2875,2,1,1,4,At Risk
C0030,125,15,74135.137,2,5,4,11,Loyal
C0031,31,8,79032.619,4,3,4,11,Loyal
C0032,6,11,39132.0665,5,4,3,12,Loyal
C0033,82,3,10479.565999999999,2,1,1,4,At Risk
C0034,381,1,8866.22,1,1,1,3,At Risk
C0035,79,11,61276.856999999996,2,4,4,10,Loyal
C0036,619,1,2298.86,1,1,1,3,At Risk
C0037,29,5,35109.953,4,2,3,9,Potential
C0038,3,20,125969.14749999999,5,5,5,15,High Value
C0039,388,2,16737.4325,1,1,2,4,At Risk
C0040,19,35,223460.638,4,5,5,14,High Value
C0041,21,40,216265.4975,4,5,5,14,High Value
C0042,104,3,28079.406,2,1,2,5,At Risk
C0044,159,9,59611.4965,2,4,4,10,Loyal
C0045,19,2,8008.750999999998,4,1,1,6,At Risk
C0046,23,1,13236.769500000002,4,1,1,6,At Risk
C0047,6,12,77191.81850000001,5,4,4,13,High Value
C0048,568,1,3422.9069999999997,1,1,1,3,At Risk
C0049,28,20,134690.0345,4,5,5,14,High Value
C0051,18,3,20361.468999999997,4,1,2,7,Potential
C0052,6,2,17538.4305,5,1,2,8,Potential
C0053,31,29,159811.1735,4,5,5,14,High Value
C0054,57,6,17618.1095,3,3,2,8,Potential
C0055,9,12,80110.8805,5,4,4,13,High Value
C0056,25,2,23103.136,4,1,2,7,Potential
C0057,191,1,11359.58,1,1,1,3,At Risk
C0058,287,4,24633.904000000002,1,2,2,5,At Risk
C0059,185,5,47794.322,1,2,3,6,At Risk
C0060,2,4,6405.134,5,2,1,8,Potential
C0061,24,9,42486.78999999999,4,4,3,11,Loyal
C0062,136,2,11331.687000000002,2,1,1,4,At Risk
C0063,45,24,131675.504,3,5,5,13,High Value
C0064,473,1,1143.7559999999999,1,1,1,3,At Risk
C0065,9,23,165297.6625,5,5,5,15,High Value
C0067,129,8,41203.664,2,3,3,8,Potential
C0068,20,5,36138.070999999996,4,2,3,9,Potential
C0069,115,4,18606.3595,2,2,2,6,At Risk
C0070,73,10,77042.813,3,4,4,11,Loyal
C0071,70,8,49720.676,3,3,3,9,Potential
C0072,148,6,42678.1435,2,3,3,8,Potential
